log start @ 2021-08-07 12:31:19
cpu core 8
kline_start_time 1509465600 kline_total_len 1896480 test_start 1893600 test_end 1896480
thread 2 fast 29 slow 45 time 125ms
thread 0 fast 29 slow 47 time 140ms
thread 3 fast 29 slow 49 time 125ms
thread 1 fast 29 slow 51 time 157ms
thread 0 fast 29 slow 55 time 125ms
thread 2 fast 29 slow 53 time 172ms
thread 3 fast 29 slow 57 time 140ms
thread 1 fast 29 slow 59 time 140ms
best strategy : fast 27 slow 44 open 0.000 close 0.004 profit 1.2385
start @ 2021-08-07 12:31:19
end   @ 2021-08-07 12:31:31
cost 12s 00:00:12
