log start @ 2021-08-16 00:53:48
cpu core 8
RAND_MAX 32767
market.ethusdt.kline.5min kline_start_time 1509465600 full_kline_len 379296 training_start 271584 training_end 376704
training_ma_cross @ 2020-06-01 00:00:00 365.0 day
thread 0 training rand 43558 2018-05-01 05:50:00 profit 0.977
thread 0 training rand 72108 2018-08-08 09:00:00 profit 1.068
thread 0 training rand 91312 2018-10-14 01:20:00 profit 1.028
thread 0 training rand 104677 2018-11-29 11:05:00 profit 1.102
thread 0 training rand 153800 2019-05-19 00:40:00 profit 0.746
thread 0 training rand 160023 2019-06-09 15:15:00 profit 0.918
thread 0 training rand 203263 2019-11-06 18:35:00 profit 1.022
thread 0 training rand 211133 2019-12-04 02:25:00 profit 1.003
thread 0 training rand 251194 2020-04-21 04:50:00 profit 0.942
thread 0 training rand 24488 2018-02-24 00:40:00 profit 0.979
thread 0 training rand 42403 2018-04-27 05:35:00 profit 0.952
thread 0 training rand 64697 2018-07-13 15:25:00 profit 1.091
thread 0 training rand 104097 2018-11-27 10:45:00 profit 1.042
thread 0 training rand 122598 2019-01-30 16:30:00 profit 0.975
thread 0 training rand 142306 2019-04-09 02:50:00 profit 1.085
thread 0 training rand 161921 2019-06-16 05:25:00 profit 1.091
thread 0 training rand 203518 2019-11-07 15:50:00 profit 1.000
thread 0 training rand 214754 2019-12-16 16:10:00 profit 1.081
thread 0 training rand 247352 2020-04-07 20:40:00 profit 1.092
thread 0 training rand 4313 2017-12-15 23:25:00 profit 1.155
thread 0 training rand 50476 2018-05-25 06:20:00 profit 0.877
thread 0 training rand 57306 2018-06-17 23:30:00 profit 0.930
thread 0 training rand 98416 2018-11-07 17:20:00 profit 1.049
thread 0 training rand 105396 2018-12-01 23:00:00 profit 1.261
thread 0 training rand 141413 2019-04-06 00:25:00 profit 0.994
thread 0 training rand 158558 2019-06-04 13:10:00 profit 1.049
thread 0 training rand 203792 2019-11-08 14:40:00 profit 0.987
thread 0 training rand 213281 2019-12-11 13:25:00 profit 1.095
thread 0 training rand 236724 2020-03-01 23:00:00 profit 0.929
thread 0 training rand 2200 2017-12-08 15:20:00 profit 1.633
thread 0 training rand 45679 2018-05-08 14:35:00 profit 1.064
